Stop
item
for
order
purchase
stock
supplier
place
of
delivery
type
storage
the
shipment
department
is
with
last
negotiated
invoice
oz
qty
no
dept
this
will
be
together
shipped
po
does
not
do
contain
regular
hs
gln
packingmaterial
southgate
pcs
provided
provide
code
hts
into
virtual
consistent
ctns
pls
issue
sea-way
bill
dept
split
from
under
combine
declare
woodpacking
vip
cartons
pono
flow
and
samethe
number
shipper
freight
regulated
contains
ms
certify
vendor
collect
itemno
set
cy
pk
by
that
total
potype
count
flowgln
departmentno
destination
my
ft
we
negotiable
cc
ww
receipt
may
seaway
instead
insteadof
hereby
than
storagegln
pam
hong
kong
load
proceduresdetails
noregulated
aiken
suffolk
elwood
statesboro
consistentwith
savannah
houston
shipmentis
noregulated
cycopy
one
ryan
shipper
expeditors
shipmentcontains
description
itemized'freight
receiptof
only
fcr
asst
clr
comcc
non
spjut
swc
hkh
wal
mas
juan
brian
san
mtq
kgm
kgs
pkgs
grn
deptno
stk
copyhts
mlt
notefcr
rnd
kowloon
materialpo
kwid
opp
htscode
aldridge
bplace
shippedtogether
containregulated
dee
endcapla
endcapp
pcplace
pcsplace
southgatevirtual
negotiatedpurchase
orderinvoice
tgt
bg
xl
vl
lwwa
gltr
crd
asm
rgg
rws
xlsj
bx
astp
pdq
deptno
onn
dk
hereto
dn
mc
tblt
cp
rg
fg
ws
pb
snt
nb
blb
amp
vlvt
br
gn
lu
